year month SPO_NOAA_flask HBA_NOAA_flask SYO_NOAA_flask PSA_NOAA_flask DRP_NOAA_flask CRZ_NOAA_flask CGO_NOAA_flask CPT_NOAA_flask USH_NOAA_flask BHD_NOAA_flask EIC_NOAA_flask NMB_NOAA_flask SMO_NOAA_flask ASC_NOAA_flask SEY_NOAA_flask
1957 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
